carte,categorie,question,reponse,difficulte,theme
1,Géographie,"Quelle ville de Bahia fut la première capitale du Brésil, jusqu'en 1763 ?",Salvador,3,Grandes villes
1,Divertissement,Comment s'appelle le café où se retrouvent les personnages de « Friends » ?,Central Perk,1,Sitcoms
1,Histoire,Quel peuple gaulois a donné son nom à la ville de Paris ?,Les Parisii,1,Gaule
1,Arts & Littérature,Quel personnage de Molière découvre qu'il dit de la prose sans le savoir ?,Monsieur Jourdain,2,Théâtre
1,Sciences & Nature,Quel est le symbole chimique du fer ?,Fe,1,Chimie : éléments
1,Sports & Loisirs,Quels Jeux olympiques d'été ont été boycottés par de nombreux pays africains pour protester contre une tournée de rugby néo-zélandaise en Afrique du Sud ?,Montréal 1976,3,Histoire des JO
2,Géographie,De quelle couleur est la croix qui orne le drapeau blanc de la Finlande ?,Bleue,2,Drapeaux
2,Divertissement,Quel film de Luc Besson (1994) raconte l'amitié entre un tueur à gages new-yorkais et une fillette nommée Mathilda ?,Léon,1,Cinéma français
2,Histoire,"Quel incident de 1618, au cours duquel des émissaires impériaux sont jetés par une fenêtre, déclenche la guerre de Trente Ans ?",La défenestration de Prague,2,Guerre de Trente Ans
2,Arts & Littérature,"Quel compositeur autrichien, auteur de 104 symphonies, est surnommé le « père de la symphonie » ?",Joseph Haydn,2,Compositeurs
2,Sciences & Nature,"Quelle unité, correspondant à une désintégration par seconde, mesure l'activité d'une source radioactive ?",Le becquerel,3,Unités et mesures
2,Sports & Loisirs,Comment appelle-t-on le groupe principal de coureurs dans une course cycliste ?,Le peloton,1,Cyclisme – vocabulaire
3,Géographie,Quel pays d'Asie centrale a pour capitale Achgabat ?,Le Turkménistan,3,Asie
3,Divertissement,De quelle planète Superman est-il originaire ?,Krypton,1,Comics
3,Histoire,Quelle civilisation du Yucatán et du Guatemala a développé une écriture glyphique et un calendrier très élaboré ?,Les Mayas,1,Amériques et Afrique antiques
3,Arts & Littérature,"Quel philosophe a écrit « L'homme est né libre, et partout il est dans les fers » ?",Jean-Jacques Rousseau,2,Citations
3,Sciences & Nature,Quel ingénieur écossais a fait en 1926 la première démonstration publique de la télévision ?,John Logie Baird,3,Télécommunications
